intersection_id,intersection_name,district_id,time_period,lane_count,vehicle_count,traffic_density,congestion_index,traffic_per_capita
int01,Concord St. & Crosswind St.,dc002,morning,4,975,243.75,0.49,0.53
int01,Concord St. & Crosswind St.,dc002,afternoon,4,1626,406.5,0.81,0.89
int01,Concord St. & Crosswind St.,dc002,evening,4,1452,363.0,0.73,0.8
int02,Strawberry St. & Crosswind St.,dc001,morning,6,2418,403.0,0.81,0.51
int02,Strawberry St. & Crosswind St.,dc001,afternoon,6,2017,336.17,0.67,0.43
int02,Strawberry St. & Crosswind St.,dc001,evening,6,2191,365.17,0.73,0.47
int03,Meadow St & Crosswind St.,dc001,morning,4,988,247.0,0.49,0.21
int03,Meadow St & Crosswind St.,dc001,afternoon,4,1004,251.0,0.5,0.21
int03,Meadow St & Crosswind St.,dc001,evening,4,1585,396.25,0.79,0.34
int04,Briarwood St & Aspen St,dc001,morning,4,1102,275.5,0.55,0.23
int04,Briarwood St & Aspen St,dc001,afternoon,4,853,213.25,0.43,0.18
int04,Briarwood St & Aspen St,dc001,evening,4,701,175.25,0.35,0.15
int05,King St & Whitestone St,dc004,morning,4,1351,337.75,0.68,1.4
int05,King St & Whitestone St,dc004,afternoon,4,1258,314.5,0.63,1.3
int05,King St & Whitestone St,dc004,evening,4,269,67.25,0.13,0.28
int06,King St & Vermont Hwy,dc007,morning,5,618,123.6,0.25,5.62
int06,King St & Vermont Hwy,dc007,afternoon,5,194,38.8,0.08,1.76
int06,King St & Vermont Hwy,dc007,evening,5,2261,452.2,0.9,20.55
int07,King St & Pine Ave,dc007,morning,5,1336,267.2,0.53,12.15
int07,King St & Pine Ave,dc007,afternoon,5,250,50.0,0.1,2.27
int07,King St & Pine Ave,dc007,evening,5,1098,219.6,0.44,9.98
int08,Emerson St & Juniper St,dc005,morning,10,1085,108.5,0.22,0.85
int08,Emerson St & Juniper St,dc005,afternoon,10,935,93.5,0.19,0.73
int08,Emerson St & Juniper St,dc005,evening,10,1154,115.4,0.23,0.9
int09,Briarwood St & Pine Ave,dc003,morning,6,1284,214.0,0.43,1.48
int09,Briarwood St & Pine Ave,dc003,afternoon,6,1386,231.0,0.46,1.59
int09,Briarwood St & Pine Ave,dc003,evening,6,1162,193.67,0.39,1.34
int10,Marion St & Pine Ave,dc003,morning,5,1188,237.6,0.48,1.37
int10,Marion St & Pine Ave,dc003,afternoon,5,829,165.8,0.33,0.95
int10,Marion St & Pine Ave,dc003,evening,5,1088,217.6,0.44,1.25
int11,Concord St. & West Ave,dc002,morning,4,1145,286.25,0.57,0.63
int11,Concord St. & West Ave,dc002,afternoon,4,1879,469.75,0.94,1.03
int11,Concord St. & West Ave,dc002,evening,4,1239,309.75,0.62,0.68
int12,Strawberry St. & West Ave,dc001,morning,6,1789,298.17,0.6,0.38
int12,Strawberry St. & West Ave,dc001,afternoon,6,2421,403.5,0.81,0.51
int12,Strawberry St. & West Ave,dc001,evening,6,1992,332.0,0.66,0.42
int13,Strawberry St. & King St,dc004,morning,5,1078,215.6,0.43,1.11
int13,Strawberry St. & King St,dc004,afternoon,5,1162,232.4,0.46,1.2
int13,Strawberry St. & King St,dc004,evening,5,324,64.8,0.13,0.33